"","ID","start","end","pos_x","pos_y","player","team","action","hypotenuse","angle","xG"
"870",48,3498,3510,7.33,2.06,"Boulanger Jessika","Carabins Universite de Montreal",1,7.61396742835166,0.273969900746883,0.140872459733946
"871",50,3640,3652,20.17,7.56,"Veillette Audrey-Anne","Carabins Universite de Montreal",0,21.5402530161556,0.358607662230286,0.0227823005462441
"872",51,3746,3758,11,3.01,"Yelle Justine","Concordia Stingers",0,11.4043895057999,0.267098007574056,0.0874974298864056
"873",52,3756,3768,12.1,4.72,"Quennec Kaleigh","Carabins Universite de Montreal",0,12.9880098552473,0.371927805743328,0.0725207080205912
"874",53,3938,3950,14.76,-10.56,"Faubert Annabel","Carabins Universite de Montreal",1,18.1485867218359,-0.62101812533952,0.0303843446220792
"875",55,4161,4173,18.15,-10.09,"Manarolis Maria","Concordia Stingers",1,20.7660925549319,-0.507379140493482,0.0216400096410281
"876",57,4213,4225,7.06,3.58,"Bernier Marie-Pascale","Concordia Stingers",0,7.91580697086532,0.46929726640439,0.140135943524332
"877",58,4484,4496,17.51,9.65,"Lemelin Stephanie","Concordia Stingers",0,19.9930637972273,0.503697817929185,0.0289411639221619
"878",59,4623,4635,11.46,-6.86,"Veillette Audrey-Anne","Carabins Universite de Montreal",0,13.3563168575772,-0.539392279265682,0.0589111284768029
"879",60,4932,4944,17.88,6.05,"Pouliot Raphaеlle","Carabins Universite de Montreal",1,18.8758284586399,0.32627389429517,0.0326556702087387
"880",62,5088,5100,15.68,6.52,"Lalancette Stephanie","Concordia Stingers",1,16.9815429216547,0.394066350846778,0.0427631715501488
"881",64,5234,5246,19.8,-6.77,"Calderone Alexandra","Concordia Stingers",0,20.9254127796801,-0.329457822065137,0.0218692333805731
"882",1,54,66,18.06,8.51,"Proulx Angelique","University of Ottawa Gee-Gees",0,19.9645611021129,0.440349114363991,0.0287221911992187
"883",2,129,141,6.69,1.68,"Fillion Alice","University of Ottawa Gee-Gees",0,6.89771701362124,0.24603351505629,0.152885509662517
"884",3,237,249,12.01,5.19,"Clavelle Alexe","University of Ottawa Gee-Gees",0,13.0834322713881,0.407902616207703,0.072068160340698
"885",4,325,337,6.33,-1.55,"Beard Justina","Carleton Ravens",0,6.51700851618286,-0.240140591459659,0.148136229295045
"886",5,554,566,2.2,-10.28,"Macmillan Alyssa","University of Ottawa Gee-Gees",0,10.512773183133,-1.35996873898179,0.0742673891979437
"887",6,589,601,9.9,-12.37,"Smythe Emily","Carleton Ravens",0,15.8438284514823,-0.895858243124908,0.0395850154535161
"888",7,623,635,8.34,-2.88,"Aubin Ariane","University of Ottawa Gee-Gees",0,8.82326470191165,-0.332502828187743,0.109854906856836
